Land,Breitengrade,Laengengrade,Oekologischer_Fussabdruck
Afghanistan,33.93911,67.709953,0.68225535150769
Albania,41.153332,20.168331,1.88645802312157
Algeria,28.033886,1.659626,2.34090871533432
Angola,-11.202692,17.873887,0.861844672530626
Antigua and Barbuda,17.060816,-61.796428,4.65509241986169
Argentina,-38.416097,-63.616672,3.31174609785516
Armenia,40.069099,45.038189,1.90039211653785
Australia,-25.274398,133.775136,7.08603895065639
Austria,47.516231,14.550072,6.0644595526287
Azerbaijan,40.143105,47.576927,2.06007477762662
Bahamas,25.03428,-77.39628,4.28452598409871
Bahrain,25.930414,50.637772,8.17288810574474
Bangladesh,23.684994,90.356331,0.903894227337054
Barbados,13.193887,-59.543198,3.96965506871852
Belarus,53.709807,27.953389,4.4029788498252
Belgium,50.503887,4.469936,6.86563365481813
Belize,17.189877,-88.49765,7.87246021937444
Benin,9.30769,2.315834,1.60743926539129
Bhutan,27.514162,90.433601,5.15876963843102
Bolivia,-16.290154,-63.588653,3.108502042975
Bosnia and Herzegovina,43.915886,17.679076,3.89223293778533
Botswana,-22.328474,24.684866,2.36925585659503
Brazil,-14.235004,-51.92528,2.58795918509511
Brunei Darussalam,4.535277,114.727669,5.41536894772703
Bulgaria,42.733883,25.48583,3.62106987906888
Burkina Faso,12.238333,-1.561593,1.26128620558268
Burundi,-3.373056,29.918886,0.83346031742015
Cabo Verde,16.002082,-24.013197,1.83415222311775
Cambodia,12.565679,104.990963,1.50140806941894
Cameroon,7.369722,12.354722,1.21383126104417
Canada,56.130366,-106.346771,8.06504970635452
Central African Republic,6.611111,20.939444,1.20382895244355
Chad,15.454166,18.732207,1.65132586091452
Chile,-35.675147,-71.542969,4.2932063437119
China,35.86166,104.195397,3.79673334803674
Colombia,4.570868,-74.297333,1.85662795631671
Comoros,-11.875001,43.872219,1.19337515186407
Congo,-0.228021,15.827659,1.02807457935432
Congo, Democratic Republic of,-4.038333,21.758664,0.782028604468426
Costa Rica,9.748917,-83.753428,2.44624710569229
Côte d'Ivoire,7.539989,-5.54708,1.39638284371307
Croatia,45.1,15.2,3.88086457270814
Cuba,21.521757,-77.781167,1.76110462900539
Cyprus,35.126413,33.429859,3.85016788334156
Czech Republic,49.817492,15.472962,5.71763294449601
Denmark,56.26392,9.501785,6.65338735373052
Djibouti,11.825138,42.590275,2.43838824586951
Dominica,15.414999,-61.370976,2.45839865678177
Dominican Republic,18.735693,-70.162651,1.7688437851294
Ecuador,-1.831239,-78.183406,1.70246786871039
Egypt,26.820553,30.802498,1.83631018042192
El Salvador,13.794185,-88.89653,2.02803597491008
Equatorial Guinea,1.650801,10.267895,2.02174458093
Eritrea,15.179384,39.782334,0.814664536855055
Estonia,58.595272,25.013607,8.0094405060858
Eswatini,-26.522503,31.465866,2.46389554676487
